Country Name;Reserves
Aruba;852082680
Afghanistan;7305675820
Angola;15410405365
Albania;3829477531
Andorra;
Arab World;
United Arab Emirates;99194475479
Argentina;63963922085
Armenia;2259321869
American Samoa;
Antigua and Barbuda;328659747,5
Australia;51048086920
Austria;11653251921
Azerbaijan;6665907526
Burundi;66887906,43
Belgium;17486655859
Benin;
Burkina Faso;
Bangladesh;31452739129
Bulgaria;27044894865
Bahrain;2142030870
Bahamas, The;1345344674
Bosnia and Herzegovina;6685395101
Belarus;5222909015
Belize;294468435,1
Bermuda;
Bolivia;7177825600
Brazil;3,71934E+11
Barbados;
Brunei Darussalam;3220619855
Bhutan;987247035,6
Botswana;6656913638
Central African Republic;361797180,3
Canada;83925602808
Central Europe and the Baltics;
Switzerland;7,44167E+11
Channel Islands;
Chile;39848699140
China;3,09188E+12
Cote d'Ivoire;
Cameroon;3459329761
Congo, Dem. Rep.;665272095
Congo, Rep.;423617388,3
Colombia;47358571768
Comoros;198471475,2
Cabo Verde;606430600,3
Costa Rica;7500924411
Caribbean small states;
Cuba;
Curacao;
Cayman Islands;162073506
Cyprus;351303991,5
Czech Republic;1,42151E+11
Germany;59173100675
Djibouti;454193909,7
Dominica;191323608,3
Denmark;68199860034
Dominican Republic;7694112506
Algeria;80227698868
East Asia & Pacific (excluding high income);
Early-demographic dividend;
East Asia & Pacific;
Europe & Central Asia (excluding high income);
Europe & Central Asia;
Ecuador;1896101675
Egypt, Arab Rep.;38609411065
Euro area;3,78391E+11
Eritrea;163033689,4
Spain;59030411978
Estonia;744752388,3
Ethiopia;3977210470
European Union;
Fragile and conflict affected situations;
Finland;8284157187
Fiji;946371681,9
France;66103290547
Faroe Islands;
Micronesia, Fed. Sts.;203528219,2
Gabon;1321051089
United Kingdom;1,59872E+11
Georgia;3289463517
Ghana;5934707914
Gibraltar;
Guinea;1142043671
Gambia, The;191773261
Guinea-Bissau;
Equatorial Guinea;48929813,61
Greece;2918421299
Grenada;233815853,8
Greenland;
Guatemala;12299108002
Guam;
Guyana;518509369,5
High income;
Hong Kong SAR, China;4,24534E+11
Honduras;4740702501
Heavily indebted poor countries (HIPC);
Croatia;19991304928
Haiti;2296290338
Hungary;30068270406
IBRD only;
IDA & IBRD total;
IDA total;
IDA blend;
Indonesia;1,17425E+11
IDA only;
Isle of Man;
India;3,74425E+11
Not classified;
Ireland;4975323463
Iran, Islamic Rep.;
Iraq;60752414325
Iceland;6239444062
Israel;1,15266E+11
Italy;51330748572
Jamaica;3532039680
Jordan;
Japan;1,23894E+12
Kazakhstan;16536058090
Kenya;8196095898
Kyrgyz Republic;1695723972
Cambodia;13373218568
Kiribati;
St. Kitts and Nevis;363216830,6
Korea, Rep.;3,9878E+11
Kuwait;37028893258
Latin America & Caribbean (excluding high income);
Lao PDR;944141406,6
Lebanon;40561232242
Liberia;560299001,8
Libya;80529462282
St. Lucia;285824309,7
Latin America & Caribbean;
Least developed countries: UN classification;
Low income;
Liechtenstein;
Sri Lanka;6100102144
Lower middle income;
Low & middle income;
Lesotho;728527650
Late-demographic dividend;
Lithuania;5531287547
Luxembourg;846611423,6
Latvia;4097739286
Macao SAR, China;20281241000
St. Martin (French part);
Morocco;23549728687
Monaco;
Moldova;2992183372
Madagascar;1739588290
Maldives;722068698,8
Middle East & North Africa;
Mexico;1,71445E+11
Marshall Islands;
Middle income;
North Macedonia;3000056566
Mali;
Malta;1020768779
Myanmar;5346885782
Middle East & North Africa (excluding high income);
Montenegro;1202486372
Mongolia;2779931759
Northern Mariana Islands;
Mozambique;3077657824
Mauritania;919552858,8
Mauritius;5840628544
Malawi;759614761,9
Malaysia;99850469255
North America;
Namibia;2149916908
New Caledonia;
Niger;
Nigeria;42838869125
Nicaragua;2261143360
Netherlands;13194707105
Norway;63145471060
Nepal;8070410726
Nauru;
New Zealand;17656593020
OECD members;
Oman;17387546506
Other small states;
Pakistan;9174683599
Panama;2121303718
Peru;58904354233
Philippines;71039872169
Palau;
Papua New Guinea;2158651577
Poland;1,11656E+11
