Country Name;gdp_growth
Aruba;1,330511037
Afghanistan;2,665292046
Angola;-0,147207426
Albania;3,821081417
Andorra;1,724022237
Arab World;0,832435499
United Arab Emirates;0,490860761
Argentina;2,668590379
Armenia;7,500000002
American Samoa;-5,85443038
Antigua and Barbuda;3,145543603
Australia;2,367617253
Austria;2,476443921
Azerbaijan;-0,282011197
Burundi;0,500009999
Belgium;1,964192755
Benin;5,671555469
Burkina Faso;6,34991812
Bangladesh;7,284184092
Bulgaria;3,811248158
Bahrain;3,803522262
Bahamas, The;0,066664463
Bosnia and Herzegovina;2,127645789
Belarus;2,5321835
Belize;1,437288946
Bermuda;
Bolivia;4,195209367
Brazil;1,322869054
Barbados;-0,173066522
Brunei Darussalam;1,328602552
Bhutan;4,651834826
Botswana;2,907531122
Central African Republic;4,527278213
Canada;2,978565954
Central Europe and the Baltics;4,79903515
Switzerland;1,799476694
Channel Islands;
Chile;1,279183341
China;6,757007611
Cote d'Ivoire;7,702089422
Cameroon;3,549087318
Congo, Dem. Rep.;3,726947653
Congo, Rep.;-3,1
Colombia;1,351326676
Comoros;3,815702113
Cabo Verde;3,702039188
Costa Rica;3,397181701
Caribbean small states;-0,193581552
Cuba;1,809054399
Curacao;-1,73976542
Cayman Islands;3,039349203
Cyprus;4,361228837
Czech Republic;4,35260352
Germany;2,465030029
Djibouti;5,076899643
Dominica;-6,79942797
Denmark;2,036165206
Dominican Republic;4,666704676
Algeria;1,3
East Asia & Pacific (excluding high income);6,475257111
Early-demographic dividend;4,707115969
East Asia & Pacific;4,593844123
Europe & Central Asia (excluding high income);4,039773863
Europe & Central Asia;2,758186121
Ecuador;2,368386526
Egypt, Arab Rep.;4,181221001
Euro area;2,542169155
Eritrea;
Spain;2,891768107
Estonia;5,748802092
Ethiopia;9,503858571
European Union;2,723967075
Fragile and conflict affected situations;1,919229696
Finland;3,05128111
Fiji;5,425740314
France;2,260202721
Faroe Islands;
Micronesia, Fed. Sts.;2,682178867
Gabon;0,479762271
United Kingdom;1,892077038
Georgia;4,8
Ghana;8,143446549
Gibraltar;
Guinea;10,30000083
Gambia, The;4,822611249
Guinea-Bissau;5,919176626
Equatorial Guinea;-5,667502957
Greece;1,505099339
Grenada;4,459048241
Greenland;0,468546638
Guatemala;2,760334857
Guam;0,24980784
Guyana;2,100003391
High income;2,302777126
Hong Kong SAR, China;3,84949281
Honduras;4,842913911
Heavily indebted poor countries (HIPC);5,116670864
Croatia;3,139195999
Haiti;1,17328004
Hungary;4,322809001
IBRD only;4,879121381
IDA & IBRD total;4,836764133
IDA total;4,240789271
IDA blend;2,783107921
Indonesia;5,067406366
IDA only;5,72239014
Isle of Man;3,6
India;7,167888861
Not classified;
Ireland;8,145296156
Iran, Islamic Rep.;3,755187367
Iraq;-2,494642939
Iceland;4,603781375
Israel;3,536703188
Italy;1,716167381
Jamaica;1,003365318
Jordan;2,115732889
Japan;1,928757251
Kazakhstan;4,1
Kenya;4,862538223
Kyrgyz Republic;4,7
Cambodia;7,01503011
Kiribati;0,328439777
St. Kitts and Nevis;-1,977341942
Korea, Rep.;3,062768462
Kuwait;-4,712340346
Latin America & Caribbean (excluding high income);1,865120539
Lao PDR;6,892530873
Lebanon;0,551994777
Liberia;2,468626095
Libya;26,67587012
St. Lucia;2,550017764
Latin America & Caribbean;1,770495435
Least developed countries: UN classification;4,861369312
Low income;4,881567521
Liechtenstein;
Sri Lanka;3,419819189
Lower middle income;5,56754067
Low & middle income;4,874224286
Lesotho;-2,277240349
Late-demographic dividend;4,731458457
Lithuania;4,247576754
Luxembourg;1,801181703
Latvia;3,787313758
Macao SAR, China;9,887584069
St. Martin (French part);
Morocco;4,234850054
Monaco;-3,4
Moldova;4,690793428
Madagascar;3,933307595
Maldives;6,803666022
Middle East & North Africa;1,481786538
Mexico;2,118082347
