,Australia,Austria,Belgium,Canada,Chile,Finland,France,Germany,Greece,India,Ireland,Italy,Japan,Korea,Netherlands,Portugal,Singapore,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States
Australia,,1394608989.0,1988180090.0,1700431855.0,273984069.0,743124622.0,3108595943.0,10368403671.0,210950502.0,2973868322.0,989718166.0,4488601238.0,17088153506.0,7890430129.0,2935297625.0,147382332.0,11295485000.0,1748923829.0,1759330730.0,2617447969.0,661145948.0,5527644952.0,26018549254.0
Austria,27036279.0,,4487520410.0,195229670.0,79361361.0,456889575.0,4763489380.0,70999331127.0,326589200.0,459878675.0,493761980.0,11487550978.0,1320485916.0,864802466.0,6483916261.0,588134354.0,249090124.0,2636847970.0,1487206987.0,6391528088.0,1183804526.0,2378252529.0,5724687376.0
Belgium,715265446.0,2498130816.0,,2425560859.0,486426135.0,2180217296.0,40321521892.0,51537299189.0,536675648.0,6184548447.0,21827294385.0,15742248789.0,6817902115.0,2707099368.0,54367272290.0,1558028002.0,4465292971.0,9282706615.0,6274457073.0,5473759921.0,3396353155.0,16473205058.0,34768383035.0
Canada,1417243425.0,1430740952.0,4184877151.0,,996900695.0,768576370.0,3973505056.0,12150303045.0,171661944.0,2901550265.0,1602469399.0,5037413395.0,9326062189.0,5567578712.0,3817235427.0,671972728.0,1126794220.0,2270077854.0,1209621969.0,4471133974.0,985966388.0,6725218883.0,292338433401.0
Chile,241935429.0,233767685.0,606796757.0,656012280.0,,290871129.0,1267978759.0,3252213648.0,20756006.0,875393747.0,95428444.0,1199146374.0,1994620490.0,1214355761.0,681194581.0,127158131.0,107659648.0,1789737565.0,367408541.0,371022256.0,356982172.0,889174283.0,15776197124.0
Finland,65891560.0,775004394.0,2484230331.0,527525865.0,229308993.0,,2109142779.0,12390329898.0,188291037.0,267097723.0,343686340.0,1938165366.0,491361385.0,308176568.0,5056141184.0,378877469.0,91285087.0,1005878458.0,11339340084.0,638940811.0,334914825.0,1664308969.0,1763243723.0
France,1219752623.0,7534324205.0,62673880760.0,2740790994.0,883212572.0,2078813536.0,,119464590970.0,1324787597.0,5434291329.0,6345181629.0,55776883428.0,7323266967.0,3392058041.0,42561928230.0,8706348152.0,4410068228.0,49138802974.0,6358001734.0,19382378567.0,7952299701.0,31344522624.0,38751856499.0
Germany,1661139280.0,53090756595.0,79659320111.0,4577361945.0,831744765.0,11156092745.0,83212117326.0,,2519379890.0,8569824588.0,12514191720.0,65055849804.0,20891820703.0,8685311599.0,120680923036.0,8019691711.0,5844394599.0,34767304643.0,16501012252.0,47900111202.0,16618078995.0,46332394846.0,59797035615.0
Greece,23487153.0,506300821.0,1870399620.0,99711719.0,48742024.0,153644331.0,2633022550.0,6800947241.0,,451996620.0,634300404.0,5082978305.0,420946064.0,1639553477.0,2546373375.0,258228201.0,898943771.0,2774876740.0,367968300.0,757242262.0,2245450488.0,1304381675.0,1443537600.0
India,12368446758.0,1088314569.0,7476833575.0,3652017380.0,1186034185.0,610566225.0,6530434837.0,13452317294.0,97320250.0,,387978066.0,4478959567.0,11011075403.0,15096301413.0,2350698242.0,132899396.0,11440776975.0,1506218293.0,1234494078.0,18055016497.0,1166519725.0,5877224151.0,34409574569.0
